Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
31.6,0,24.91772579,18.10378251,9.27051729,28.53169307,-9.394105291,28.91212178,-24.59410729,17.86868453,-29.6,0,-18.28379449,-13.28393236,-8.528893063,-26.24915205,8.467038395,-26.0589574,26.05032495,-18.92671577,1.8,1,0,36
31,0,24.91772579,18.10378251,9.146910393,28.15127049,-9.332301967,28.72191045,-24.27050061,17.63357026,-29.6,0,-18.60740147,-13.51904621,-8.590696636,-26.43936329,8.343431995,-25.67853467,26.21212821,-19.04427301,1.8,1,0,36
27.6,0,24.91772579,18.10378251,9.208713842,28.34148178,-10.01213853,30.81423505,-20.71082719,15.04731329,-23.8,0,-23.6233097,-17.16331084,-9.270535938,-28.53168701,9.085070395,-27.96107108,27.18294778,-19.74961646,1.8,0.984807759,0.173648142,36
27.2,0,25.24133262,18.33889657,9.085106945,27.9610592,-9.703121912,29.86317842,-20.87263053,15.16487042,-24,0,-23.78511319,-17.28086776,-9.270535938,-28.53168701,9.023267195,-27.77085971,27.18294778,-19.74961646,1.8,0.984807759,0.173648142,36
27.2,0,25.40313604,18.4564536,9.085106945,27.9610592,-9.641318588,29.67296709,-21.35804054,15.51754183,-24,0,-23.46150621,-17.04575392,-9.332339511,-28.72189825,9.208676794,-28.34149382,26.21212821,-19.04427301,1.8,0.984807759,0.173648142,36
27.4,0,25.40313604,18.4564536,9.085106945,27.9610592,-9.579515264,29.48275576,-22.32886056,16.22288464,-23.4,0,-23.6233097,-17.16331084,-9.394143084,-28.9121095,9.270479994,-28.53170518,26.53573473,-19.27938749,1.8,0.984807759,0.173648142,36
27.8,0,25.07952921,18.22133954,9.023303496,27.77084792,-9.394105291,28.91212178,-22.16705722,16.1053275,-23,0,-24.43232715,-17.75109546,-9.394143084,-28.9121095,9.270479994,-28.53170518,26.53573473,-19.27938749,1.8,0.984807759,0.173648142,36
28,0,24.75592238,17.98622548,9.023303496,27.77084792,-9.208695318,28.3414878,-22.32886056,16.22288464,-22.8,0,-24.27052366,-17.63353853,-9.703160949,-29.86316573,9.270479994,-28.53170518,26.53573473,-19.27938749,1.8,0.984807759,0.173648142,36
28.8,0,24.75592238,17.98622548,9.085106945,27.9610592,-9.455908615,29.10233311,-22.16705722,16.1053275,-22.8,0,-24.43232715,-17.75109546,-9.641357376,-29.67295449,9.208676794,-28.34149382,26.05032495,-18.92671577,1.8,0.984807759,0.173648142,36
28.4,0,24.91772579,18.10378251,9.023303496,27.77084792,-9.455908615,29.10233311,-22.16705722,16.1053275,-22.4,0,-24.59413064,-17.86865238,-9.764964522,-30.05337698,9.146873594,-28.15128245,26.21212821,-19.04427301,1.8,0.984807759,0.173648142,36
28.8,0,25.07952921,18.22133954,8.961500047,27.58063663,-9.641318588,29.67296709,-21.84345055,15.87021323,-22.2,0,-24.10872017,-17.51598161,-9.703160949,-29.86316573,8.961463995,-27.58064834,25.56491517,-18.57404405,1.8,0.984807759,0.173648142,36
30,0,25.07952921,18.22133954,8.961500047,27.58063663,-9.826728561,30.24360107,-21.84345055,15.87021323,-22.2,0,-23.29970271,-16.92819699,-9.703160949,-29.86316573,8.899660795,-27.39043698,25.40311191,-18.45648681,1.8,0.984807759,0.173648142,36
30.2,0,25.07952921,18.22133954,8.83789315,27.20021406,-9.888531885,30.4338124,-21.84345055,15.87021323,-22.6,0,-23.29970271,-16.92819699,-9.579553803,-29.48274324,9.023267195,-27.77085971,24.75589887,-17.98625784,1.8,0.984807759,0.173648142,36
30,0,24.59411896,17.86866845,8.83789315,27.20021406,-9.95033521,30.62402373,-22.16705722,16.1053275,-22.4,0,-23.13789922,-16.81064007,-9.764964522,-30.05337698,9.085070395,-27.96107108,25.24130865,-18.33892957,1.8,0.984807759,0.173648142,36
30.4,0,24.27051214,17.6335544,9.023303496,27.77084792,-9.826728561,30.24360107,-21.68164721,15.7526561,-22.4,0,-23.13789922,-16.81064007,-9.703160949,-29.86316573,8.899660795,-27.39043698,24.75589887,-17.98625784,1.8,0.984807759,0.173648142,36
30.8,0,24.27051214,17.6335544,9.146910393,28.15127049,-9.703121912,29.86317842,-21.51984388,15.63509896,-22.4,0,-23.13789922,-16.81064007,-9.764964522,-30.05337698,8.961463995,-27.58064834,24.43229235,-17.75114336,1.8,0.984807759,0.173648142,36
29.8,0,24.75592238,17.98622548,9.208713842,28.34148178,-9.455908615,29.10233311,-21.68164721,15.7526561,-22,0,-23.29970271,-16.92819699,-9.764964522,-30.05337698,8.837857595,-27.20022561,24.75589887,-17.98625784,1.8,0.984807759,0.173648142,36
29.2,0,25.07952921,18.22133954,9.27051729,28.53169307,-9.51771194,29.29254443,-21.84345055,15.87021323,-21.6,0,-23.13789922,-16.81064007,-9.888571668,-30.43379947,8.714251195,-26.81980287,25.40311191,-18.45648681,1.8,0.984807759,0.173648142,36
