68.91,52.77,53.06,58.63,60.97,56.95,31.15,54.56,56.11,57.05,57.1,50.21,52.81,35.77,52.1,57.39,27.78,53.1,60.84,48.6,77.06,53.54,52.44,71.2,1.2,0,0,140
65.43,53.53,53.95,56.85,60.03,57.82,31.15,53.66,58.84,54.32,53.5,52.03,53.76,36.77,52.1,58.28,29.6,50.49,65.39,49.6,77.06,56.27,50.4,69.42,1.2,0,0,140
64.27,53.53,54.84,59.52,60.03,57.82,28.3,55.46,57.93,53.41,54.4,52.03,56.61,35.77,52.1,56.5,32.33,52.23,64.48,48.6,78.78,57.18,51.42,71.2,1.2,0,0,140
66.59,56.57,53.06,59.52,60.03,58.69,34,54.56,58.84,53.41,57.1,52.94,53.76,36.77,51.26,57.39,28.69,53.97,63.57,47.6,78.78,54.45,49.38,70.31,1.2,0,0,140
65.43,55.81,55.73,56.85,63.79,59.56,31.15,51.86,57.93,55.23,54.4,55.67,52.81,37.77,51.26,57.39,30.51,53.1,63.57,46.6,75.34,58.09,48.36,71.2,1.2,0,0,140
66.59,52.77,53.95,56.85,58.15,58.69,34,52.76,58.84,55.23,55.3,52.94,57.56,39.77,52.1,57.39,33.24,51.36,64.48,48.6,78.78,58.09,50.4,69.42,1.2,0,0,140
66.59,56.57,52.17,55.96,59.09,59.56,30.2,53.66,60.66,55.23,58,52.94,55.66,37.77,52.94,55.61,30.51,51.36,62.66,47.6,77.92,53.54,50.4,70.31,1.2,0,0,140
64.27,56.57,53.06,57.74,57.21,57.82,28.3,54.56,56.11,54.32,56.2,51.12,54.71,38.77,49.58,54.72,28.69,54.84,64.48,49.6,80.5,53.54,51.42,72.09,1.2,0,0,140
67.75,52.77,52.17,58.63,61.91,57.82,32.1,50.96,56.11,57.05,55.3,52.03,54.71,36.77,52.94,56.5,31.42,53.1,64.48,48.6,79.64,56.27,51.42,69.42,1.5,0,0,140
66.59,54.29,53.06,58.63,60.97,58.69,34,53.66,55.2,57.05,55.3,51.12,53.76,37.77,52.94,58.28,29.6,53.97,64.48,46.6,77.06,56.27,51.42,70.31,1.5,0,0,140
67.75,54.29,53.95,59.52,57.21,56.95,33.05,54.56,58.84,56.14,56.2,50.21,51.86,37.77,52.1,57.39,32.33,54.84,64.48,49.6,80.5,55.36,51.42,70.31,1.5,0,0,140
66.59,54.29,53.95,61.3,60.97,56.08,27.35,52.76,59.75,57.05,57.1,49.3,54.71,36.77,52.94,56.5,32.33,53.97,63.57,45.6,77.06,55.36,49.38,69.42,1.5,0,0,140
65.43,52.77,53.06,57.74,60.03,60.43,30.2,55.46,57.93,56.14,57.1,50.21,53.76,36.77,51.26,53.83,33.24,53.1,63.57,45.6,80.5,56.27,51.42,72.98,1.5,0,0,140
67.75,54.29,53.95,60.41,59.09,57.82,30.2,56.36,57.93,57.05,56.2,52.94,56.61,37.77,48.74,54.72,32.33,52.23,64.48,50.6,78.78,54.45,51.42,70.31,1.5,0,0,140
63.11,55.05,53.06,58.63,58.15,58.69,29.25,51.86,57.02,56.14,56.2,52.94,55.66,38.77,51.26,54.72,30.51,52.23,61.75,48.6,77.92,54.45,50.4,72.09,1.5,0,0,140
66.59,52.77,54.84,59.52,57.21,56.95,28.3,56.36,58.84,57.05,55.3,52.03,51.86,37.77,50.42,57.39,29.6,51.36,62.66,45.6,79.64,57.18,51.42,71.2,1.5,0,0,140
68.91,56.57,53.95,59.52,60.97,58.69,27.35,52.76,57.02,57.05,55.3,50.21,55.66,38.77,51.26,57.39,33.24,54.84,64.48,47.6,77.92,56.27,53.46,72.98,1.5,0,0,140
64.27,53.53,54.84,57.74,60.97,54.34,28.3,53.66,56.11,58.87,56.2,50.21,52.81,36.77,50.42,56.5,35.97,53.97,63.57,49.6,77.92,56.27,54.48,71.2,1.5,0,0,140
66.59,55.05,53.06,56.85,60.97,56.95,32.1,53.66,59.75,57.96,56.2,52.94,53.76,38.77,52.1,56.5,29.6,53.1,62.66,46.6,80.5,54.45,53.46,70.31,1.5,0,0,140
65.43,52.77,53.06,57.74,63.79,55.21,31.15,53.66,60.66,57.96,56.2,51.12,52.81,37.77,52.94,58.28,31.42,52.23,63.57,51.6,77.06,55.36,52.44,70.31,1.5,0,0,140
65.43,55.05,54.84,60.41,60.03,56.08,33.05,55.46,57.02,57.05,56.2,52.94,53.76,37.77,49.58,55.61,33.24,52.23,63.57,46.6,77.92,56.27,51.42,70.31,1.5,0,0,140
67.75,55.05,53.06,58.63,60.97,58.69,30.2,54.56,56.11,57.96,56.2,52.94,52.81,36.77,52.1,54.72,29.6,53.97,61.75,46.6,79.64,56.27,50.4,71.2,1.5,0,0,140
67.75,54.29,53.06,59.52,61.91,56.08,35.9,52.76,57.93,56.14,59.8,52.03,53.76,36.77,52.1,56.5,31.42,52.23,62.66,47.6,78.78,57.18,52.44,69.42,1.5,0,0,140
64.27,52.77,53.06,57.74,61.91,56.08,29.25,52.76,57.02,57.05,58.9,52.94,50.91,37.77,52.1,55.61,30.51,54.84,61.75,47.6,77.92,54.45,51.42,71.2,1.5,0,0,140
67.75,55.05,53.06,58.63,60.97,58.69,27.35,52.76,58.84,56.14,56.2,52.03,53.76,39.77,52.1,56.5,31.42,53.1,65.39,48.6,77.06,59,52.44,68.53,1.5,0,0,140
67.75,53.53,54.84,59.52,62.85,58.69,31.15,53.66,58.84,58.87,58,52.94,53.76,38.77,51.26,54.72,30.51,54.84,64.48,50.6,78.78,55.36,52.44,68.53,1.5,0,0,140
