Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
36,47,52,38,41,22,50,-0.24,0,0,"2
"
36,45,50,38,41,34,50,-0.3,0,0,"2
"
39,45,50,38,41,34,51,-0.36,0,0,"2
"
39,45,50,39,41,34,51,-0.35,0,0,"2
"
39,45,45,39,41,37,50,-0.32,0,0,"2
"
40,45,45,34,41,37,50,-0.35,0,0,"2
"
40,45,49,34,42,39,50,-0.33,0,0,"2
"
40,45,49,34,42,39,49,-0.28,0,0,"2
"
40,45,49,38,42,39,49,-0.24,0,0,"2
"
40,45,45,38,39,36,49,-0.23,0,0,"2
"
33,45,45,37,39,36,49,-0.24,0,0,"2
"
33,45,45,37,39,37,49,-0.23,0,0,"2
"
34,44,49,37,39,37,46,-0.33,0,0,"2
"
34,44,49,39,39,37,46,-0.38,0,0,"2
"
34,46,47,39,41,35,47,-0.38,0,0,"2
"
36,46,47,36,41,35,47,-0.31,0,0,"2
"
36,46,47,36,42,35,47,-0.3,0,0,"2
"
36,45,46,36,42,36,48,-0.26,0,0,"2
"
43,45,46,36,42,36,48,-0.35,0,0,"2
"
43,45,46,36,44,40,48,-0.35,0,0,"2
"
38,43,46,36,44,40,46,-0.33,0,0,"2
"
38,43,46,38,44,40,46,-0.29,0,0,"2
"
38,45,47,38,39,36,45,-0.31,0,0,"2
"
35,45,47,32,39,36,45,-0.3,0,0,"2
"
35,45,48,32,44,38,45,-0.27,0,0,"2
"
36,40,48,32,44,38,44,-0.25,0,0,"2
"
36,40,48,33,44,38,44,-0.32,0,0,"2
"
36,42,50,33,38,35,46,-0.34,0,0,"2
"
38,42,50,37,38,35,46,-0.26,0,0,"2
"
38,42,50,37,39,38,46,-0.3,0,0,"2
"
38,46,50,37,39,38,47,-0.36,0,0,"2
"
38,46,50,35,39,38,47,-0.37,0,0,"2
"
38,44,48,35,42,36,47,-0.3,0,0,"2
"
34,44,48,37,42,36,46,-0.35,0,0,"2
"
34,44,48,37,37,36,46,-0.36,0,0,"2
"
34,48,50,37,37,40,50,-0.41,0,0,"2
"
36,48,50,34,37,40,50,-0.38,0,0,"2
"
36,48,49,34,37,38,50,-0.33,0,0,"2
"
34,45,49,38,37,38,45,-0.35,0,0,"2
"
34,45,49,38,37,38,45,-0.38,0,0,"2
"
34,44,47,38,40,37,45,-0.31,0,0,"2
"
37,44,47,37,40,37,45,-0.35,0,0,"2
"
37,44,47,37,41,33,45,-0.31,0,0,"2
"
37,44,49,37,41,33,47,-0.27,0,0,"2
"
36,44,49,35,41,33,47,-0.33,0,0,"2
"
36,41,48,35,41,36,46,-0.33,0,0,"2
"
36,41,48,34,41,36,46,-0.32,0,0,"2
"
36,41,48,34,38,36,46,-0.33,0,0,"2
"
36,43,49,34,38,39,51,-0.34,0,0,"2
"
35,43,49,36,38,39,51,-0.38,0,0,"2
"
35,43,47,36,37,36,51,-0.37,0,0,"2
"
45,41,47,36,37,36,48,-0.39,0,0,"2
"
45,41,47,36,37,36,48,-0.36,0,0,"2
"
45,42,44,36,46,33,45,-0.3,0,0,"2
"
36,42,44,38,46,33,45,-0.32,0,0,"2
"
36,42,43,38,37,37,45,-0.31,0,0,"2
"
38,46,43,36,37,37,47,-0.34,0,0,"2
"
38,46,43,36,37,37,47,-0.43,0,0,"2
"
38,41,49,36,44,39,47,-0.46,0,0,"2
"
34,41,49,38,44,39,47,-0.39,0,0,"2
"
34,41,49,38,39,34,47,-0.34,0,0,"2
"
34,39,50,38,39,34,47,-0.36,0,0,"2
"
38,39,50,38,39,34,47,-0.4,0,0,"2
"
38,46,49,38,40,35,47,-0.36,0,0,"2
"
34,46,49,34,40,35,49,-0.37,0,0,"2
"
34,46,49,34,39,35,49,-0.39,0,0,"2
"
34,44,46,34,39,37,45,-0.39,0,0,"2
"
41,44,46,34,39,37,45,-0.38,0,0,"2
"
41,44,47,34,41,35,45,-0.36,0,0,"2
"
38,42,47,36,41,35,47,-0.4,0,0,"2
"
38,42,47,36,41,35,47,-0.35,0,0,"2
"
38,45,47,36,39,37,47,-0.36,0,0,"2
"
39,45,47,39,39,37,47,-0.4,0,0,"2
"
39,45,48,39,39,33,47,-0.37,0,0,"2
"
39,44,48,37,39,33,47,-0.35,0,0,"2
"
44,44,48,37,39,33,47,-0.37,0,0,"2
"
44,46,48,37,39,36,49,-0.31,0,0,"2
"
38,46,48,36,39,36,49,-0.33,0,0,"2
"
38,46,48,36,42,36,49,-0.3,0,0,"2
"
38,41,52,36,42,36,45,-0.36,0,0,"2
"
41,41,52,34,42,36,45,-0.41,0,0,"2
"
41,41,45,34,39,36,45,-0.4,0,0,"2
"
41,43,45,35,39,36,50,-0.4,0,0,"2
"
41,43,45,35,41,36,50,-0.37,0,0,"2
"
41,43,42,35,41,34,49,-0.39,0,0,"2
"
41,43,42,33,41,34,49,-0.4,0,0,"2
"
41,43,44,33,42,35,49,-0.36,0,0,"2
"
41,46,44,33,42,35,50,-0.37,0,0,"2
"
42,46,44,33,42,35,50,-0.34,0,0,"2
"
