Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
29.6,0,25.56493945,18.57401063,9.208713842,28.34148178,-9.888531885,30.4338124,-21.84345055,15.87021323,-31.6,0,-23.46150621,-17.04575392,-8.837910928,-27.20020828,9.208676794,-28.34149382,26.21212821,-19.04427301,0.8,1,0,36
29.2,0,25.24133262,18.33889657,9.085106945,27.9610592,-9.826728561,30.24360107,-21.35804054,15.51754183,-31,0,-23.13789922,-16.81064007,-8.837910928,-27.20020828,9.023267195,-27.77085971,26.21212821,-19.04427301,0.8,1,0,36
28.8,0,24.91772579,18.10378251,9.208713842,28.34148178,-9.95033521,30.62402373,-19.9018105,14.45952761,-30.8,0,-23.6233097,-17.16331084,-8.961518074,-27.58063077,8.776054395,-27.01001424,26.21212821,-19.04427301,0.8,1,0,36
28.2,0,25.24133262,18.33889657,9.208713842,28.34148178,-10.13574518,31.19465771,-19.41640049,14.10685621,-30.8,0,-23.6233097,-17.16331084,-9.08512522,-27.96105327,8.961463995,-27.58064834,26.21212821,-19.04427301,0.8,1,0,36
29,0,25.24133262,18.33889657,9.208713842,28.34148178,-9.95033521,30.62402373,-18.76918714,13.63662767,-30.8,0,-23.46150621,-17.04575392,-9.08512522,-27.96105327,8.961463995,-27.58064834,26.53573473,-19.27938749,0.8,1,0,36
29.4,0,24.59411896,17.86866845,9.146910393,28.15127049,-9.888531885,30.4338124,-19.09279381,13.87174194,-30.6,0,-23.78511319,-17.28086776,-9.208732366,-28.34147576,9.085070395,-27.96107108,26.53573473,-19.27938749,0.8,1,0,36
30,0,24.59411896,17.86866845,9.208713842,28.34148178,-9.764925237,30.05338974,-20.54902385,14.92975615,-31.2,0,-23.94691668,-17.39842469,-9.208732366,-28.34147576,8.961463995,-27.58064834,26.53573473,-19.27938749,0.8,1,0,36
28.4,0,25.07952921,18.22133954,9.208713842,28.34148178,-9.208695318,28.3414878,-20.38722051,14.81219902,-30,0,-23.29970271,-16.92819699,-10.87742883,-33.47717942,9.950315194,-30.62403023,25.72671843,-18.69160129,0.8,0.984807759,0.173648142,36
28.4,0,25.07952921,18.22133954,9.332320739,28.72190435,-9.270498642,28.53169912,-21.35804054,15.51754183,-29,0,-23.46150621,-17.04575392,-10.5066074,-32.33591194,9.641299194,-29.67297339,25.40311191,-18.45648681,0.8,0.984807759,0.173648142,36
28.8,0,25.56493945,18.57401063,9.394124188,28.91211564,-8.837875372,27.20021983,-22.32886056,16.22288464,-28.8,0,-23.78511319,-17.28086776,-10.44480382,-32.14570069,9.455889594,-29.10233929,25.24130865,-18.33892957,0.8,0.984807759,0.173648142,36
29.6,0,25.56493945,18.57401063,9.517731085,29.29253821,-8.6524654,26.62958585,-23.7850906,17.28089885,-28.6,0,-23.94691668,-17.39842469,-10.25939311,-31.57506695,9.270479994,-28.53170518,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
30.4,0,25.56493945,18.57401063,9.455927636,29.10232693,-8.6524654,26.62958585,-24.27050061,17.63357026,-28.8,0,-24.27052366,-17.63353853,-10.13578596,-31.19464446,9.146873594,-28.15128245,24.43229235,-17.75114336,0.8,0.984807759,0.173648142,36
30.2,0,25.40313604,18.4564536,9.27051729,28.53169307,-8.714268724,26.81979718,-24.10869727,17.51601312,-29,0,-23.94691668,-17.39842469,-10.38300025,-31.95548945,9.023267195,-27.77085971,23.46147278,-17.04579992,0.8,0.984807759,0.173648142,36
29.8,0,25.72674286,18.69156766,9.146910393,28.15127049,-8.899678697,27.39043116,-23.94689394,17.39845599,-29.6,0,-23.94691668,-17.39842469,-10.63021454,-32.71633443,9.208676794,-28.34149382,23.62327604,-17.16335716,0.8,0.984807759,0.173648142,36
30,0,25.88854628,18.80912469,9.085106945,27.9610592,-9.023285345,27.77085381,-24.10869727,17.51601312,-29.4,0,-24.10872017,-17.51598161,-10.56841097,-32.52612319,9.270479994,-28.53170518,23.7850793,-17.2809144,0.8,0.984807759,0.173648142,36
29,0,26.05034969,18.92668172,9.146910393,28.15127049,-9.208695318,28.3414878,-23.94689394,17.39845599,-29.4,0,-24.75593413,-17.9862093,-10.63021454,-32.71633443,9.146873594,-28.15128245,23.46147278,-17.04579992,0.8,0.984807759,0.173648142,36
29.2,0,26.37395652,19.16179578,9.208713842,28.34148178,-9.208695318,28.3414878,-23.62328726,17.16334172,-29.6,0,-25.24134461,-18.33888007,-10.63021454,-32.71633443,9.023267195,-27.77085971,23.46147278,-17.04579992,0.8,0.984807759,0.173648142,36
28.8,0,26.53575994,19.27935281,9.394124188,28.91211564,-9.394105291,28.91212178,-23.13787725,16.81067031,-29.8,0,-25.07954112,-18.22132315,-10.63021454,-32.71633443,9.023267195,-27.77085971,24.27048909,-17.63358612,0.8,0.984807759,0.173648142,36
29,0,26.53575994,19.27935281,9.332320739,28.72190435,-9.208695318,28.3414878,-22.97607391,16.69311318,-29.6,0,-24.91773763,-18.10376623,-10.75382169,-33.09675693,8.961463995,-27.58064834,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
29,0,26.37395652,19.16179578,9.332320739,28.72190435,-9.332301967,28.72191045,-22.97607391,16.69311318,-29.8,0,-25.24134461,-18.33888007,-10.56841097,-32.52612319,9.023267195,-27.77085971,24.27048909,-17.63358612,0.8,0.984807759,0.173648142,36
29.4,0,26.05034969,18.92668172,9.085106945,27.9610592,-9.146891994,28.15127647,-23.13787725,16.81067031,-29.8,0,-24.59413064,-17.86865238,-10.38300025,-31.95548945,9.023267195,-27.77085971,24.75589887,-17.98625784,0.8,0.984807759,0.173648142,36
28.8,0,25.88854628,18.80912469,9.023303496,27.77084792,-9.146891994,28.15127647,-24.10869727,17.51601312,-29.4,0,-24.27052366,-17.63353853,-10.07398239,-31.00443321,8.961463995,-27.58064834,24.75589887,-17.98625784,0.8,0.984807759,0.173648142,36
29.2,0,25.56493945,18.57401063,8.899696599,27.39042534,-9.08508867,27.96106514,-23.7850906,17.28089885,-29.6,0,-24.43232715,-17.75109546,-10.07398239,-31.00443321,8.899660795,-27.39043698,24.59409561,-17.8687006,0.8,0.984807759,0.173648142,36
28.8,0,25.40313604,18.4564536,8.961500047,27.58063663,-9.208695318,28.3414878,-23.13787725,16.81067031,-30,0,-24.43232715,-17.75109546,-9.826768095,-30.24358823,8.899660795,-27.39043698,24.75589887,-17.98625784,0.8,0.984807759,0.173648142,36
28.8,0,25.40313604,18.4564536,8.83789315,27.20021406,-9.208695318,28.3414878,-21.68164721,15.7526561,-30,0,-24.10872017,-17.51598161,-9.826768095,-30.24358823,8.961463995,-27.58064834,25.40311191,-18.45648681,0.8,0.984807759,0.173648142,36
